dt,Head.x,Head.y,Head.z,LeftHand.x,LeftHand.y,LeftHand.z,RightHand.x,RightHand.y,RightHand.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,Waist.x,Waist.y,Waist.z,LeftKnee.x,LeftKnee.y,LeftKnee.z,RightKnee.x,RightKnee.y,RightKnee.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,RightFoot.x,RightFoot.y,RightFoot.z
0.0111698,0,0,0,-0.3441172,1.228965,0.1172247,0.1989524,1.229555,0.17535,0.1378791,1.249243,0.005752385,0,0,0,-0.2594218,1.224236,0.02530723,-0.3188066,0.4412162,0.1089905,0.136925,0.4705696,0.165397,-0.2492067,0.04938138,-0.03620977,0.1379963,0.04580724,0.02201363
0.0112801,0,0,0,-0.3438521,1.21837,0.1200507,0.1997296,1.218972,0.1776176,0.138477,1.239632,0.009049788,0,0,0,-0.2594954,1.213837,0.02803043,-0.3225125,0.4390564,0.1104747,0.1407499,0.4700602,0.1660663,-0.2492898,0.04950726,-0.03606846,0.1385738,0.04569042,0.02212025
0.0109708,0,0,0,-0.3436213,1.207866,0.1224779,0.1991382,1.208245,0.1799962,0.1365232,1.228382,0.01137847,0,0,0,-0.2597653,1.204522,0.03030358,-0.3263602,0.4372467,0.1117578,0.1438997,0.4695041,0.1669316,-0.249404,0.0497961,-0.03618921,0.1391718,0.04563069,0.02211151
0.0111651,0,0,0,-0.343709,1.197374,0.1248743,0.199907,1.198948,0.1829092,0.1364408,1.218868,0.01422554,0,0,0,-0.2593685,1.194811,0.0331156,-0.3299109,0.4355452,0.112916,0.1462874,0.4692807,0.167793,-0.2495478,0.04982698,-0.03616682,0.1400613,0.04540873,0.02197237
0.0109226,0,0,0,-0.3435436,1.187132,0.1273327,0.1994985,1.188627,0.1857443,0.1373079,1.209171,0.01674487,0,0,0,-0.2596286,1.185253,0.03569514,-0.3333262,0.4339532,0.1140707,0.1484652,0.4687585,0.16868,-0.2496037,0.04990709,-0.03613322,0.1408712,0.0453316,0.0218312
0.0111328,0,0,0,-0.3435119,1.176615,0.1297106,0.1995462,1.179352,0.188695,0.1373582,1.199694,0.01919881,0,0,0,-0.2590764,1.174769,0.03840666,-0.3360181,0.4326314,0.1150837,0.1500829,0.4683342,0.1693021,-0.2496449,0.04983532,-0.03611208,0.1415393,0.0453397,0.02195043
0.0126471,0,0,0,-0.3433707,1.166268,0.1323075,0.2009829,1.17171,0.1934713,0.1374064,1.190112,0.02178063,0,0,0,-0.2594371,1.165083,0.04108535,-0.3385819,0.431222,0.1162945,0.1517863,0.4678231,0.1704526,-0.2495579,0.04971266,-0.03592424,0.142038,0.04526174,0.02185011
0.00953,0,0,0,-0.3435549,1.15621,0.13452,0.2009426,1.161911,0.1965875,0.1351504,1.178466,0.02401644,0,0,0,-0.2595525,1.154897,0.04399343,-0.3403566,0.4297761,0.1171773,0.1519484,0.4670364,0.1712733,-0.2495978,0.04964995,-0.03584144,0.1417829,0.04562199,0.02151764
0.0111507,0,0,0,-0.3433986,1.145783,0.1372515,0.2012733,1.153163,0.1995647,0.133293,1.168032,0.02537785,0,0,0,-0.2599607,1.145122,0.04671897,-0.3423042,0.4284363,0.1186172,0.1520565,0.464855,0.1716481,-0.2495353,0.04967785,-0.03577335,0.1418652,0.04575336,0.02132307
0.0110384,0,0,0,-0.3435942,1.135817,0.1394898,0.2012345,1.143429,0.2021983,0.1329934,1.158464,0.02756627,0,0,0,-0.2590517,1.134815,0.04917775,-0.3432279,0.4269557,0.1198399,0.1526965,0.4639933,0.1725529,-0.2494766,0.04966497,-0.03582531,0.1419058,0.04571509,0.02130387
0.0111775,0,0,0,-0.3434463,1.125591,0.1424821,0.2029859,1.135255,0.2046875,0.1316854,1.149019,0.0304016,0,0,0,-0.2594053,1.12508,0.05182285,-0.3447945,0.4251983,0.1207613,0.1538951,0.4624263,0.172965,-0.2495253,0.04951668,-0.03600854,0.1420187,0.04559314,0.02119637
0.0112654,0,0,0,-0.3436881,1.115414,0.1448349,0.2030643,1.125714,0.2067851,0.130773,1.139003,0.03238598,0,0,0,-0.2585779,1.113979,0.05446831,-0.3455615,0.4239057,0.1224175,0.1546434,0.4617205,0.1736561,-0.2495086,0.04948449,-0.03597576,0.1419327,0.04557765,0.0212326
0.0108605,0,0,0,-0.3433257,1.105514,0.1475418,0.2034381,1.117055,0.2085623,0.1303641,1.129639,0.03466919,0,0,0,-0.2588893,1.104394,0.05685811,-0.3454573,0.4226919,0.1246608,0.1553223,0.4611526,0.1739215,-0.2491869,0.04913807,-0.03584278,0.1420326,0.04533672,0.02101085
0.0111329,0,0,0,-0.3434139,1.095948,0.1504435,0.2036099,1.107953,0.210442,0.1298938,1.118959,0.0373489,0,0,0,-0.2592224,1.094888,0.05910686,-0.3460882,0.421504,0.1265379,0.1552765,0.4604754,0.1744669,-0.249021,0.04908049,-0.03571095,0.1415816,0.04547775,0.02106232
0.0111761,0,0,0,-0.343859,1.08634,0.1533235,0.205385,1.10033,0.2131581,0.1294827,1.109623,0.03974874,0,0,0,-0.2595715,1.085478,0.06133417,-0.3460596,0.4203155,0.1281564,0.1540532,0.4600327,0.1750435,-0.2491671,0.04876232,-0.03574036,0.141272,0.04541516,0.02103916
0.011154,0,0,0,-0.3442191,1.077138,0.1561994,0.2048231,1.090824,0.2150671,0.1296158,1.102833,0.04109506,0,0,0,-0.258936,1.074942,0.06379036,-0.3462616,0.4191018,0.1301711,0.1529999,0.4592878,0.1755366,-0.2491417,0.04867971,-0.03558397,0.1411025,0.04536819,0.02103395
0.0109931,0,0,0,-0.344548,1.068015,0.158882,0.2054762,1.08238,0.2165994,0.1291999,1.09404,0.04322665,0,0,0,-0.2593504,1.065845,0.06583072,-0.3459778,0.4182149,0.132222,0.1519644,0.4585787,0.1762875,-0.2490584,0.04860151,-0.03544474,0.1407004,0.04534638,0.02156187
0.0111494,0,0,0,-0.344767,1.059143,0.161487,0.2056256,1.073043,0.2172879,0.1295809,1.086337,0.04528654,0,0,0,-0.2597913,1.056834,0.06778321,-0.3457733,0.4171947,0.134021,0.150811,0.4579861,0.1769645,-0.2489828,0.04860628,-0.03523979,0.1406024,0.04510474,0.02167624
0.011219,0,0,0,-0.3451248,1.050307,0.1641559,0.2065722,1.065078,0.2186747,0.1292052,1.077805,0.04725706,0,0,0,-0.2595022,1.047841,0.07012268,-0.3451358,0.4165058,0.1355588,0.1495307,0.4572991,0.1779155,-0.2489368,0.04855418,-0.03518447,0.1403936,0.04502666,0.02177797
0.0109126,0,0,0,-0.345364,1.041874,0.1663706,0.2058954,1.055599,0.2197828,0.1286864,1.070061,0.04851132,0,0,0,-0.2590279,1.038269,0.07227724,-0.3448011,0.4153558,0.1373772,0.148331,0.4567653,0.1785301,-0.2488848,0.04854512,-0.03509004,0.1403797,0.04482377,0.02194702
0.0111343,0,0,0,-0.3458062,1.033855,0.1684991,0.2067118,1.047983,0.2211629,0.1283414,1.061933,0.05015861,0,0,0,-0.2593907,1.029903,0.07406337,-0.3444551,0.4143727,0.1390588,0.1469598,0.4560498,0.1793292,-0.2488436,0.04838729,-0.03501181,0.1401485,0.04476452,0.02206461
0.0111375,0,0,0,-0.3463087,1.026199,0.1702603,0.2056008,1.039088,0.2215126,0.1291342,1.055889,0.05268822,0,0,0,-0.2590246,1.020913,0.07576513,-0.3438989,0.4135461,0.1406432,0.1453118,0.4552681,0.1803017,-0.248585,0.04877353,-0.03460886,0.1395757,0.04485595,0.02221216
0.0129853,0,0,0,-0.3465433,1.018749,0.1716401,0.2061699,1.031591,0.2228232,0.1296418,1.047172,0.05495189,0,0,0,-0.2592718,1.01172,0.0774795,-0.3435193,0.4124012,0.1424338,0.1435564,0.4543267,0.1812835,-0.2483957,0.04873216,-0.03439,0.1390453,0.04474878,0.02252638
0.0134469,0,0,0,-0.3470162,1.011832,0.1728671,0.205871,1.023985,0.2243211,0.1296158,1.038636,0.05645679,0,0,0,-0.2648587,1.011988,0.07746152,-0.3431963,0.4112184,0.1442786,0.1416712,0.4529492,0.1824605,-0.2483318,0.0486666,-0.0345499,0.1387029,0.04470038,0.02271194
0.0132594,0,0,0,-0.3472531,1.005106,0.1736387,0.2056544,1.016071,0.2247229,0.1297325,1.031494,0.05787027,0,0,0,-0.2650318,1.003708,0.07912681,-0.3431688,0.409954,0.1460795,0.1400295,0.4522209,0.1834457,-0.2483361,0.04869556,-0.0343951,0.1383769,0.04464316,0.02268185
0.0090232,0,0,0,-0.3477358,0.9989882,0.1743822,0.2059945,1.010108,0.2259632,0.1298258,1.024477,0.05912225,0,0,0,-0.2653375,0.9967173,0.0801127,-0.342757,0.4091501,0.1473858,0.1389878,0.4512942,0.184309,-0.2479419,0.04898703,-0.0340947,0.1381218,0.04458535,0.02277317
0.0116547,0,0,0,-0.3478572,0.9924381,0.1749493,0.2054545,1.003868,0.2270478,0.1300411,1.017628,0.060303,0,0,0,-0.2646942,0.987726,0.0814589,-0.3422691,0.4081347,0.1488579,0.137844,0.4503908,0.1850935,-0.2478452,0.04893398,-0.03403347,0.1378135,0.04457796,0.02290852
0.0112177,0,0,0,-0.3482348,0.9873957,0.1747038,0.2058087,0.9977543,0.2281706,0.1309626,1.01245,0.06229161,0,0,0,-0.2651597,0.9814538,0.08223636,-0.3422284,0.4072053,0.1501298,0.1364737,0.4495697,0.1859656,-0.2477432,0.04895926,-0.03391392,0.137485,0.04453588,0.02305132
0.0113182,0,0,0,-0.3484679,0.9815422,0.1748132,0.2052152,0.9902962,0.2284175,0.1311514,1.006022,0.06360767,0,0,0,-0.2641454,0.9734765,0.08338904,-0.3421317,0.4061143,0.151249,0.1350197,0.4482315,0.1868223,-0.2475986,0.04897404,-0.03379132,0.1371884,0.04458761,0.02335344
0.0113011,0,0,0,-0.348212,0.9764411,0.1742902,0.2034789,0.9825974,0.2288429,0.1306749,1.000745,0.06508566,0,0,0,-0.2645364,0.9677182,0.08419325,-0.3422825,0.405174,0.1523568,0.1335701,0.447203,0.1875827,-0.247449,0.04902327,-0.03364056,0.137021,0.0445888,0.02362932
0.0112181,0,0,0,-0.3482863,0.9708533,0.1743942,0.2039714,0.9773936,0.229636,0.1307729,0.9945855,0.06662972,0,0,0,-0.2638456,0.9610826,0.0854625,-0.3422549,0.4042695,0.153467,0.1324432,0.446353,0.1882479,-0.2472649,0.04913735,-0.03344169,0.1367868,0.04454815,0.023753
0.0108913,0,0,0,-0.3481701,0.966267,0.1739092,0.2026274,0.9696174,0.2297838,0.1308538,0.9889691,0.0682021,0,0,0,-0.2641244,0.9555993,0.0862371,-0.3422287,0.4034581,0.1545082,0.131414,0.4455435,0.1888532,-0.2471797,0.04916143,-0.03331426,0.1366093,0.0443567,0.02399404
0.0112566,0,0,0,-0.3484356,0.9613185,0.1737408,0.20325,0.9648609,0.2306513,0.131272,0.9833935,0.06956052,0,0,0,-0.2629068,0.9486675,0.08709993,-0.3420475,0.4027425,0.1554006,0.1308122,0.4446698,0.1893661,-0.2470031,0.04916978,-0.03316129,0.136347,0.044294,0.02409653
0.0108526,0,0,0,-0.3486875,0.9574206,0.1735125,0.2027324,0.9587557,0.2311959,0.1314587,0.9781789,0.07098918,0,0,0,-0.2615188,0.9413183,0.08791567,-0.3422535,0.4018431,0.1560515,0.13029,0.4436885,0.1898449,-0.247116,0.04893565,-0.03347788,0.1361945,0.04413509,0.02399804
0.0111366,0,0,0,-0.3488518,0.9531943,0.1735159,0.2035369,0.9545157,0.2323686,0.1316227,0.9729061,0.07239445,0,0,0,-0.261837,0.9366015,0.08846118,-0.3426521,0.4010739,0.1567514,0.1302817,0.4429505,0.190243,-0.2470262,0.04893684,-0.03340252,0.1361977,0.04404771,0.02398432
0.0110589,0,0,0,-0.3491256,0.9492132,0.1735749,0.2031228,0.9491482,0.2330832,0.1310543,0.968574,0.07340885,0,0,0,-0.2589207,0.9275222,0.08992185,-0.3436732,0.4002259,0.1574236,0.1299782,0.4419391,0.1906634,-0.247012,0.04884732,-0.03335797,0.1360837,0.04405737,0.02399867
0.0110428,0,0,0,-0.3494969,0.945474,0.1738238,0.203368,0.944565,0.2340022,0.1272833,0.9595782,0.07341918,0,0,0,-0.2591981,0.923284,0.0904966,-0.3431705,0.3985891,0.1569094,0.1301342,0.4411752,0.1910289,-0.2469743,0.04880595,-0.0333292,0.1359771,0.04398632,0.02400727
0.0115742,0,0,0,-0.3499439,0.9419506,0.173875,0.2041827,0.940795,0.2352148,0.1272476,0.955213,0.07467099,0,0,0,-0.2566734,0.9157957,0.09152088,-0.3437955,0.3980403,0.1581032,0.1306778,0.4403222,0.1913069,-0.2470787,0.04868698,-0.03331244,0.1357681,0.04378605,0.02363887
0.0109352,0,0,0,-0.350545,0.9388364,0.1742939,0.2048787,0.9372517,0.2363293,0.1265329,0.9511113,0.07520138,0,0,0,-0.2568097,0.9123008,0.09196693,-0.3451012,0.3985327,0.1582187,0.1308725,0.439702,0.1916564,-0.247071,0.04863179,-0.03328113,0.1359172,0.04393065,0.02360846
