Head.x,Head.y,Head.z,LeftHand.x,LeftHand.y,LeftHand.z,RightHand.x,RightHand.y,RightHand.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,Waist.x,Waist.y,Waist.z,LeftKnee.x,LeftKnee.y,LeftKnee.z,RightKnee.x,RightKnee.y,RightKnee.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,RightFoot.x,RightFoot.y,RightFoot.z
0.0107253,0,0,0,-0.2976374,1.408275,0.1255016,0.1795437,1.396207,0.2071708,0.1934927,1.418592,-0.01274487,0,0,0,-0.2087865,1.399997,-0.01985055,-0.189909,0.5080271,0.01376405,0.09014469,0.4833214,0.06498203,-0.2862961,0.05372345,-0.01480352,0.1908404,0.04595709,0.0541731
0.0111353,0,0,0,-0.2959988,1.407663,0.1246794,0.1804537,1.395783,0.2097325,0.1953452,1.417513,-0.0102395,0,0,0,-0.2056708,1.39961,-0.01986653,-0.184566,0.5124673,0.01864489,0.09098703,0.4829478,0.0654201,-0.2855792,0.05398715,-0.01468533,0.1908229,0.04561341,0.05417635
0.0111828,0,0,0,-0.2938468,1.406919,0.1237361,0.1812988,1.395308,0.2117947,0.197817,1.417564,-0.00813137,0,0,0,-0.2034142,1.399593,-0.02002101,-0.1838012,0.5132247,0.02030268,0.09182554,0.4828291,0.06564611,-0.2850233,0.0547874,-0.01474657,0.190868,0.04559326,0.0541237
0.0111184,0,0,0,-0.2921856,1.406297,0.123218,0.1816244,1.394753,0.2135715,0.2001846,1.417637,-0.005761482,0,0,0,-0.2007653,1.399396,-0.02002735,-0.1822679,0.5152736,0.0231799,0.09274155,0.4825624,0.06587237,-0.2842504,0.05516267,-0.01491478,0.1908085,0.04530811,0.05410374
0.0110102,0,0,0,-0.2901344,1.405508,0.1230986,0.1820731,1.394614,0.2153461,0.2021169,1.417346,-0.003146999,0,0,0,-0.1989294,1.399437,-0.02025288,-0.1817473,0.5162827,0.02483084,0.09374005,0.4823626,0.06603099,-0.2833134,0.0557102,-0.01494461,0.1907871,0.04520369,0.05413682
0.0111634,0,0,0,-0.2885475,1.405125,0.1227027,0.1824737,1.394443,0.217038,0.2038825,1.417271,-0.0007803738,0,0,0,-0.1969332,1.399793,-0.02057175,-0.1816235,0.5172241,0.02741164,0.09392077,0.4823482,0.06606261,-0.281953,0.05628145,-0.01476457,0.1905635,0.04488611,0.05413654
0.0113519,0,0,0,-0.2868288,1.404655,0.1229893,0.1831482,1.394233,0.2190878,0.2066655,1.418074,0.002498813,0,0,0,-0.1955173,1.399956,-0.02075237,-0.1815898,0.5183864,0.02937128,0.09423012,0.4823346,0.06621737,-0.2801583,0.05660343,-0.01426651,0.1904638,0.04487729,0.05399333
0.0108214,0,0,0,-0.285691,1.404571,0.1232253,0.1834742,1.394147,0.220714,0.207918,1.41793,0.004760154,0,0,0,-0.1943733,1.40014,-0.02091355,-0.1820197,0.5189444,0.03089062,0.09432679,0.4822603,0.0663252,-0.2789554,0.05679214,-0.01333703,0.1903071,0.04468143,0.05402999
0.0110284,0,0,0,-0.2841959,1.404364,0.1234553,0.1839271,1.393824,0.2219823,0.2047202,1.414867,0.002962478,0,0,0,-0.1921448,1.399222,-0.020853,-0.184839,0.5184729,0.0293632,0.09424752,0.4826423,0.06669579,-0.2780983,0.05703568,-0.01267695,0.1900859,0.04460609,0.05385469
0.0130125,0,0,0,-0.2833985,1.404625,0.1248008,0.1841031,1.393676,0.2232917,0.2052174,1.414637,0.004421391,0,0,0,-0.1915144,1.399446,-0.02094585,-0.1851529,0.5181828,0.03040842,0.0941537,0.4825445,0.06689031,-0.2775892,0.05641675,-0.01175033,0.1899756,0.04451764,0.05390888
